,60.0%,80.0%,90.0%,99.0%
4470,0.592577,0.784496,0.892865,0.994046
4480,0.592842,0.784163,0.893057,0.994058
4490,0.593393,0.784202,0.893289,0.994072
4500,0.593147,0.784450,0.893527,0.994085
4510,0.593091,0.784498,0.893763,0.994099
4520,0.592940,0.784902,0.893938,0.994111
4530,0.592736,0.785091,0.893674,0.994125
4540,0.592424,0.785162,0.893890,0.994137
4550,0.592223,0.784483,0.894126,0.994150
4560,0.592145,0.784058,0.894107,0.994163
4570,0.592083,0.784209,0.893795,0.994176
4580,0.592195,0.784406,0.893816,0.994188
4590,0.592576,0.784372,0.893757,0.994201
4600,0.593112,0.783705,0.893381,0.994213
4610,0.593311,0.783374,0.893509,0.994226
4620,0.593074,0.783840,0.893696,0.994239
4630,0.593416,0.783672,0.893920,0.994251
4640,0.593289,0.783734,0.894150,0.994264
4650,0.593169,0.784066,0.894386,0.994276
4660,0.593427,0.784517,0.894601,0.994288
4670,0.593694,0.784854,0.894829,0.994300
4680,0.593731,0.785048,0.895006,0.994313
4690,0.593464,0.785137,0.895185,0.994325
4700,0.593788,0.784971,0.894622,0.994337
4710,0.593393,0.784850,0.894819,0.994349
4720,0.593592,0.784738,0.894666,0.994361
4730,0.593900,0.784546,0.894791,0.994373
4740,0.593965,0.784029,0.894792,0.994385
4750,0.594093,0.784180,0.894986,0.994396
4760,0.594385,0.784256,0.894844,0.994408
4770,0.594540,0.783864,0.895024,0.994420
4780,0.594511,0.784001,0.895245,0.994432
4790,0.594307,0.784340,0.895477,0.994443
4800,0.594064,0.784485,0.895582,0.994455
4810,0.594640,0.784621,0.895792,0.994466
4820,0.594997,0.784004,0.895911,0.994478
4830,0.595103,0.783852,0.895756,0.994489
4840,0.595187,0.784235,0.895524,0.994500
4850,0.595269,0.784253,0.895732,0.994512
4860,0.595208,0.784418,0.895453,0.994523
4870,0.595209,0.784183,0.895361,0.994534
4880,0.595101,0.783794,0.895324,0.994546
4890,0.595407,0.783647,0.894774,0.994557
4900,0.595271,0.783611,0.894244,0.994568
4910,0.595193,0.783636,0.893662,0.994579
4920,0.595114,0.783369,0.893394,0.994590
4930,0.595113,0.782757,0.893548,0.994601
4940,0.595260,0.782441,0.893632,0.994612
4950,0.595265,0.781650,0.893154,0.994623
4960,0.595781,0.781597,0.892647,0.994634
4970,0.595548,0.781568,0.892301,0.994644
4980,0.595805,0.781594,0.891975,0.994655
4990,0.595684,0.781873,0.892160,0.994666
5000,0.595539,0.781521,0.892290,0.994676
5010,0.595439,0.781951,0.892508,0.994687
5020,0.595414,0.781827,0.892718,0.994698
5030,0.595096,0.781434,0.892502,0.994708
5040,0.595217,0.781103,0.892606,0.994719
5050,0.595452,0.781010,0.892633,0.994730
5060,0.595658,0.780860,0.892454,0.994739
5070,0.595486,0.780791,0.892174,0.994750
5080,0.595813,0.780537,0.892325,0.994760
5090,0.595720,0.780580,0.892258,0.994771
5100,0.595613,0.780573,0.892154,0.994781
5110,0.595311,0.780804,0.892365,0.994791
5120,0.595697,0.781232,0.892473,0.994801
5130,0.595310,0.781257,0.892311,0.994811
5140,0.595309,0.781678,0.892531,0.994822
5150,0.595352,0.781718,0.892731,0.994831
5160,0.595716,0.781858,0.892949,0.994842
5170,0.595684,0.781848,0.893145,0.994851
5180,0.595447,0.781801,0.893351,0.994861
5190,0.595697,0.781958,0.893557,0.994871
5200,0.595427,0.781728,0.893761,0.994882
5210,0.595118,0.781942,0.893970,0.994891
5220,0.594880,0.782112,0.894171,0.994901
5230,0.594956,0.782056,0.894378,0.994911
5240,0.595175,0.781511,0.894423,0.994920
5250,0.595335,0.781580,0.894393,0.994930
5260,0.595490,0.781547,0.894275,0.994940
5270,0.595639,0.781498,0.893691,0.994949
5280,0.595574,0.781544,0.893563,0.994959
5290,0.595769,0.781334,0.893436,0.994968
5300,0.595716,0.781274,0.893191,0.994978
5310,0.595720,0.781692,0.892958,0.994987
5320,0.595769,0.781547,0.893103,0.994997
5330,0.595823,0.781641,0.892810,0.995006
5340,0.596096,0.781797,0.892987,0.995016
5350,0.596026,0.781845,0.892939,0.995025
5360,0.596168,0.781466,0.892839,0.995034
5370,0.596063,0.781525,0.892641,0.995043
5380,0.596220,0.781469,0.892836,0.995052
5390,0.596355,0.781508,0.892647,0.995062
5400,0.596465,0.781369,0.892843,0.995071
5410,0.596465,0.781629,0.893045,0.995080
5420,0.596229,0.781471,0.893241,0.995089
5430,0.596432,0.781618,0.893232,0.995098
5440,0.596305,0.781454,0.892939,0.995107
5450,0.596185,0.781485,0.892886,0.995116
5460,0.596480,0.781396,0.892667,0.995125
5470,0.596527,0.781636,0.892560,0.995134
5480,0.596735,0.781298,0.892772,0.995143
5490,0.596743,0.781601,0.892953,0.995151
5500,0.596859,0.781875,0.893146,0.995161
5510,0.596994,0.781772,0.892892,0.995169
5520,0.596951,0.781933,0.892604,0.995178
5530,0.597237,0.781555,0.892799,0.995187
5540,0.597136,0.781854,0.892993,0.995195
5550,0.597195,0.781760,0.893183,0.995204
5560,0.597339,0.781968,0.893377,0.995213
5570,0.597172,0.782072,0.893572,0.995221
5580,0.597059,0.782284,0.893587,0.995230
5590,0.597412,0.782280,0.893758,0.995238
5600,0.597519,0.782545,0.893746,0.995247
5610,0.597753,0.782605,0.893733,0.995256
5620,0.597693,0.782450,0.893884,0.995264
5630,0.597889,0.782627,0.893877,0.995272
5640,0.598063,0.782904,0.894059,0.995281
5650,0.598208,0.783083,0.894251,0.995289
5660,0.598021,0.783368,0.894151,0.995297
5670,0.597848,0.783241,0.893745,0.995306
5680,0.598126,0.782963,0.893669,0.995314
5690,0.598019,0.783038,0.893799,0.995322
5700,0.597833,0.782915,0.893889,0.995330
5710,0.597652,0.783292,0.894075,0.995338
5720,0.597946,0.783517,0.894259,0.995347
5730,0.598376,0.783627,0.894444,0.995355
5740,0.598622,0.783542,0.894628,0.995363
5750,0.598782,0.783918,0.894817,0.995371
5760,0.598468,0.784294,0.894991,0.995379
5770,0.598631,0.784215,0.895175,0.995387
5780,0.598432,0.783764,0.895360,0.995395
5790,0.598522,0.783901,0.895535,0.995403
5800,0.598829,0.783641,0.895719,0.995411
5810,0.598808,0.784006,0.895895,0.995419
5820,0.598615,0.783851,0.895948,0.995426
5830,0.598581,0.783742,0.896122,0.995434
5840,0.598637,0.783971,0.896285,0.995442
5850,0.598872,0.784350,0.896458,0.995450
5860,0.598885,0.784200,0.896575,0.995458
5870,0.598931,0.784109,0.896717,0.995466
5880,0.598756,0.783834,0.896627,0.995473
5890,0.598687,0.783912,0.896809,0.995481
5900,0.598543,0.783992,0.896982,0.995489
5910,0.598289,0.784093,0.897153,0.995496
5920,0.598023,0.784308,0.897327,0.995504
5930,0.597802,0.783918,0.897498,0.995511
5940,0.597687,0.783684,0.897671,0.995519
5950,0.597585,0.783450,0.897847,0.995527
5960,0.597507,0.783288,0.898015,0.995534
5970,0.597348,0.783064,0.898189,0.995541
5980,0.597340,0.782781,0.898355,0.995549
5990,0.597316,0.783116,0.898526,0.995556
6000,0.597589,0.783124,0.898694,0.995564
6010,0.597630,0.783303,0.898863,0.995572
6020,0.597488,0.783304,0.899035,0.995578
6030,0.597723,0.783372,0.899209,0.995586
6040,0.597581,0.783750,0.899270,0.995593
6050,0.597572,0.783712,0.899102,0.995600
6060,0.597230,0.783792,0.898982,0.995608
6070,0.597086,0.783786,0.899148,0.995615
